id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
nolan-winter,65,Nolan Winter,PF/C,Wisconsin,13.10,8.50,1.50,0,1.13,NBA Ready,Wisconsin · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4895783.png,https://www.espn.com/mens-college-basketball/player/_/id/4895783/nolan-winter
andrej-stojakovic,66,Andrej Stojakovic,SG/SF,Illinois,13.50,4.50,1.00,0,1.12,NBA Ready,Illinois · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175007.png,https://www.espn.com/mens-college-basketball/player/_/id/5175007/andrej-stojakovic
jeremy-fears-jr,67,Jeremy Fears Jr,G,Michigan State Spartans,15.20,2.40,9.40,0,1.12,NBA Ready,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4711255.png,https://www.espn.com/mens-college-basketball/player/_/id/4711255/jeremy-fears-jr
tyler-nickel,68,Tyler Nickel,SG,Vanderbilt,13.50,3.30,1.20,0,1.12,NBA Ready,Vanderbilt · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4838721.png,https://www.espn.com/mens-college-basketball/player/_/id/4838721/tyler-nickel
ja-kobi-gillespie,69,Ja'Kobi Gillespie,PG,Tennessee,18.40,2.80,5.40,0,1.12,NBA Ready,Tennessee · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107968.png,https://www.espn.com/mens-college-basketball/player/_/id/5107968/jakobi-gillespie
tamin-lipsey,70,Tamin Lipsey,PG,Iowa State,13.50,3.90,5.10,0,1.11,NBA Ready,Iowa State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106254.png,https://www.espn.com/mens-college-basketball/player/_/id/5106254/tamin-lipsey
maliq-brown,71,Maliq Brown,PF/C,Duke,4.90,5.20,1.60,0,1.11,NBA Ready,Duke · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105337.png,https://www.espn.com/mens-college-basketball/player/_/id/5105337/maliq-brown
trevon-brazile,72,Trevon Brazile,PF/C,Arkansas,13.00,7.30,1.60,0,1.11,NBA Ready,Arkansas · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4698719.png,https://www.espn.com/mens-college-basketball/player/_/id/4698719/trevon-brazile
tyler-bilodeau,73,Tyler Bilodeau,PF,UCLA,17.60,5.60,1.10,0,1.11,NBA Ready,UCLA · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105626.png,https://www.espn.com/mens-college-basketball/player/_/id/5105626/tyler-bilodeau
john-blackwell,74,John Blackwell,SG,Wisconsin,19.10,5.10,2.30,0,1.10,NBA Ready,Wisconsin · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5103630.png,http://www.espn.com/mens-college-basketball/player/_/id/5103630/john-blackwell
